title,url,page_signal_score,purpose_hits,impact_hits,leadership_purpose_co_mentions,strategy_hits,capital_hits,employee_hits,execution_hits,capability_hits,industry_hits,source_file
Tour the Amazon-backed seaweed farm working to turn kelp into a carbon-cutting superhero,https://www.aboutamazon.com/news/sustainability/amazon-carbon-footprint-climate-solutions-seaweed-farms,20.7,0,13,0,3,7,2,4,17,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon's impact in communities where we live and work,https://www.aboutamazon.com/impact/community,20.7,1,16,0,9,13,9,0,5,3,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
How Amazon helps data center communities thrive,https://www.aboutamazon.com/news/aws/amazon-data-center-investment-community-impact,20.7,0,9,0,4,6,7,1,4,2,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
"Amazon now has over 30,000 custom electric vans delivering to customers across the U.S.",https://www.aboutamazon.com/news/transportation/everything-you-need-to-know-about-amazons-electric-delivery-vans-from-rivian,20.4,1,13,0,0,9,3,10,11,0,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Read and download report findings from Amazon,https://www.aboutamazon.com/about-us/amazon-reports,20.3,0,18,0,3,13,26,4,7,6,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon triples safety supplies at first wildfire relief hub in the US,https://www.aboutamazon.com/news/community/amazon-wildfire-disaster-relief,20.1,1,15,0,1,4,3,4,8,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
10 Climate Pledge Friendly products to shop at Amazon during Earth Month,https://www.aboutamazon.com/news/retail/amazon-climate-pledge-friendly,19.9,1,16,0,5,2,1,6,25,0,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
9 ways Amazon employees volunteered during our 2025 Global Month of Volunteering,https://www.aboutamazon.com/news/community/amazon-global-month-of-volunteering,19.9,1,11,1,2,3,12,2,3,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Charging ahead: Meet Amazon's growing lineup of electric vehicles,https://www.aboutamazon.com/news/sustainability/amazon-electric-vehicles-vans-trucks-bikes,19.7,6,6,1,0,1,0,4,6,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
We are all in on The Climate Pledge: net zero carbon by 2040,https://www.aboutamazon.com/news/sustainability/we-are-all-in-on-the-climate-pledge-net-zero-carbon-by-2040,19.4,3,2,0,3,18,0,4,8,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
An Amazon interviewer dives deep into how she uses the Leadership Principles,https://www.aboutamazon.com/news/workplace/what-do-each-of-amazons-leadership-principles-really-mean,19.2,0,6,1,4,0,26,4,5,0,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon’s newest UK delivery station aims to be the first to achieve new zero carbon certification outside the US,https://www.aboutamazon.com/news/sustainability/net-zero-delivery-station-uk,18.3,3,10,0,0,5,0,0,6,2,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon data center impact in communities,https://www.aboutamazon.com/aws-impact-in-communities,18.3,0,13,0,8,16,3,0,6,3,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
How Amazon packages are delivered in densely populated areas like New York City with e-bikes and on foot,https://www.aboutamazon.com/news/transportation/amazon-delivery-new-york-nyc,18.2,3,3,0,3,3,0,6,3,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
How to tour an Amazon fulfillment center in 2026,https://www.aboutamazon.com/news/operations/how-to-tour-amazon-fulfillment-center,17.8,0,5,0,3,5,10,5,6,0,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
"Amazon invests record $340 billion in U.S. infrastructure, jobs, and communities in 2025",https://www.aboutamazon.com/news/job-creation-and-investment/amazon-economic-impact-report-2025,17.7,0,6,0,1,22,9,0,14,3,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon's Impact on Economic Growth,https://www.aboutamazon.com/impact/economy/growth,17.6,0,13,0,3,14,18,1,6,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
How Amazon trains its employees to spot signs of human trafficking,https://www.aboutamazon.com/news/workplace/amazon-driver-training-signs-human-trafficking,17.5,0,10,0,3,6,37,2,8,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
5 awesome health benefits many Amazon employees can start using on their first day,https://www.aboutamazon.com/news/workplace/amazon-health-benefits,17.5,0,28,0,2,2,81,1,2,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
5 ways Amazon is making an impact on US communities,https://www.aboutamazon.com/news/community/amazon-affordable-homes-free-stem-american-communities-amazon,17.3,0,11,0,2,11,2,1,4,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
How 3 AI innovations are creating a better experience for candidates in Amazon’s hiring process,https://www.aboutamazon.com/news/workplace/artificial-intelligence-resume-jobs-hiring-amazon,16.9,0,8,0,0,0,1,4,12,0,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Food Security,https://www.aboutamazon.com/impact/helpforhunger,16.8,0,17,0,3,8,0,3,10,2,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Our Upskilling Programs,https://www.aboutamazon.com/workplace/upskilling-commitments,16.7,0,3,0,23,18,60,3,3,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
How my military experience helped me become a leader at Amazon,https://www.aboutamazon.com/news/workplace/amazon-leader-military-experience,16.5,0,3,1,4,3,18,1,5,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
New Amazon report shows small businesses have created millions of US jobs and built thriving communities,https://www.aboutamazon.com/news/small-business/amazon-2024-small-business-empowerment-report,16.4,0,9,0,0,8,0,4,4,3,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
5 ways Amazon is investing in Texas,https://www.aboutamazon.com/news/community/amazon-investment-texas-jobs-infrastructure-small-business,16.3,0,4,0,3,10,12,0,2,2,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
How 3 Farm Daughters used Amazon’s resources to scale their pasta business across North America,https://www.aboutamazon.com/news/small-business/three-farm-daughters-small-business-amazon,15.7,0,2,0,4,7,3,10,12,4,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon is investing AU$750 million in a robotics fulfillment center in Australia,https://www.aboutamazon.com/news/company-news/australia-robotics-fulfillment-center,15.3,0,2,0,1,15,17,4,8,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
4 ways Amazon is investing in New York,https://www.aboutamazon.com/news/community/amazon-investment-new-york-jobs-infrastructure-small-business,15.2,0,2,0,2,13,11,0,2,2,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
"Future Ready 2030: Amazon expands skills training goal, invests $2.5 billion to prepare 50 million people for the future of work",https://www.aboutamazon.com/news/workplace/amazon-future-of-work-skills-jobs-training,15.0,0,2,0,2,7,12,2,0,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon in the Arlington community: Amazon supports Fairfax County students in Presidential AI Challenge,https://www.aboutamazon.com/news/community/amazon-arlington-virginia-news,14.9,0,9,1,2,6,0,1,3,3,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon's Housing Fund,https://www.aboutamazon.com/impact/community/housing-equity,14.9,0,19,0,1,10,2,0,1,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon Public Policy,https://www.aboutamazon.com/about-us/public-policy,14.3,0,14,0,3,6,3,1,8,3,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Setting the record straight on Amazon's USPS partnership,https://www.aboutamazon.com/news/company-news/amazon-packages-usps-postal-volume,14.3,0,3,0,5,7,0,2,11,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon Awards & Recognition,https://www.aboutamazon.com/about-us/awards-recognition,13.9,0,8,1,1,3,3,1,6,3,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon CEO Andy Jassy shares 5 ways the company is committed to sustainability,https://www.aboutamazon.com/news/sustainability/amazon-ceo-andy-jassy-discussion-on-sustainability,13.7,0,7,2,1,6,2,0,0,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon data centers: How much water and electricity do they really use?,https://www.aboutamazon.com/news/sustainability/amazon-data-centers-electricity-bills-water-use,13.6,0,4,0,2,7,1,1,7,2,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
The Climate Pledge,https://www.aboutamazon.com/news/tag/the-climate-pledge,13.5,0,11,1,0,3,0,1,2,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
About Us - Amazon's Leadership Principles | About Amazon,https://www.aboutamazon.com/about-us/leadership-principles,13.2,0,3,0,1,0,7,3,5,0,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Sustainability,https://www.aboutamazon.com/news/sustainability,12.6,0,19,0,0,2,0,0,0,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
"Amazon's impact in Seattle, Bellevue, and the Puget Sound: Amazon and USO Northwest team up to support over 2,000 deploying service members",https://www.aboutamazon.com/news/community/amazon-seattle-bellevue-puget-sound-news,12.5,0,14,0,0,3,1,0,3,0,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Washington floods: Amazon donates $3M for Washington flood relief efforts,https://www.aboutamazon.com/news/community/washington-floods-amazon-communities-support,12.4,0,5,0,0,3,6,0,0,0,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon News,https://www.aboutamazon.com/news,12.3,2,3,0,1,4,0,6,3,2,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Workplace,https://www.aboutamazon.com/news/workplace,12.3,0,2,1,0,3,14,1,0,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
"Sustainability at Amazon: Water conservation efforts, and smart irrigation, new project to save water, benefit Mississippi farmers",https://www.aboutamazon.com/news/sustainability/amazon-water-conservation-replenishment-sustainability,11.5,0,3,0,1,5,0,2,3,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon.com announces fourth quarter results,https://www.aboutamazon.com/news/company-news/amazon-earnings-q4-2025-report,11.5,0,1,0,0,2,0,3,1,0,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
A responsible path forward for America’s energy future,https://www.aboutamazon.com/news/policy-news-views/amazon-data-centers-power-costs-white-house-pledge,11.2,0,5,1,2,4,2,0,1,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Community,https://www.aboutamazon.com/news/community,11.1,0,7,0,0,4,1,0,1,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon announces first Right Now Climate Fund project outside the U.S.,https://www.aboutamazon.com/news/sustainability/amazon-announces-first-right-now-climate-fund-project-outside-the-u-s,11.0,0,2,0,2,9,0,0,2,0,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
"How to watch 'Jury Duty Presents: Company Retreat,' streaming now on Prime Video",https://www.aboutamazon.com/news/entertainment/jury-duty-presents-company-retreat-prime-video,10.8,0,2,1,0,2,2,2,0,2,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon meets 100% renewable energy goal 7 years early,https://www.aboutamazon.com/news/sustainability/amazon-renewable-energy-goal,10.1,0,2,0,0,0,0,1,0,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
AWS,https://www.aboutamazon.com/news/aws,9.5,0,2,1,3,1,1,1,1,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon is investing over $1 billion to raise pay and lower health care costs for US fulfillment and transportation employees,https://www.aboutamazon.com/news/workplace/amazon-wage-increase-2025-fulfillment-transportation-employees,9.4,0,0,0,2,3,14,0,2,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
About Us | About Amazon,https://www.aboutamazon.com/about-us,9.3,1,2,0,0,2,16,0,3,2,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Get a behind-the-scenes look at Amazon's innovations with the 'Learn and Be Curious' podcast,https://www.aboutamazon.com/news/company-news/learn-be-curious-podcast-amazon-stores-ceo,9.2,0,1,0,0,0,15,2,10,0,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
How Amazon is using predictive meteorology to help employees and partners stay safe this winter,https://www.aboutamazon.com/news/workplace/amazon-employee-driver-safety-winter,9.1,0,2,0,1,0,15,0,6,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Sustainability at Amazon,https://www.aboutamazon.com/planet,8.7,0,7,0,0,3,0,1,3,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Right Now Climate Fund: Amazon’s projects around the world,https://www.aboutamazon.com/news/sustainability/right-now-climate-fund,8.4,0,2,0,0,7,0,0,0,0,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
How Amazon’s disaster technology kits help communities recover faster,https://www.aboutamazon.com/news/community/amazon-disaster-relief-technology-kits-recovery,8.4,0,3,0,0,1,2,0,12,0,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
7 ways Amazon is thinking big about nuclear energy,https://www.aboutamazon.com/news/sustainability/amazon-nuclear-energy-smr-plans,8.4,0,3,0,0,4,0,2,1,2,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon CEO Andy Jassy explains 8 things you may not know about the company’s Leadership Principles,https://www.aboutamazon.com/news/workplace/amazon-ceo-andy-jassy-leadership-principles-video-podcast,8.3,0,0,0,2,0,3,2,0,0,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Policy news & views,https://www.aboutamazon.com/news/policy-news-views,8.2,0,3,0,3,0,0,1,1,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Correcting the Financial Times report about recent Amazon.com service incidents and AI,https://www.aboutamazon.com/news/company-news/amazon-outage-ai-financial-times-correction,8.2,0,4,0,0,0,0,0,5,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
International news from Amazon,https://www.aboutamazon.com/international-news,7.5,0,2,0,1,3,1,3,3,0,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
"5 ways to reduce, reuse, and recycle your Amazon packaging",https://www.aboutamazon.com/news/sustainability/what-to-do-with-amazon-boxes,7.5,1,2,0,0,0,0,0,0,0,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
8 more sustainable choices Amazon shoppers can make this Earth Month and beyond,https://www.aboutamazon.com/news/sustainability/how-to-shop-sustainably-on-amazon,6.8,0,4,0,0,1,0,0,2,0,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Andy Jassy makes Amazon leadership announcement,https://www.aboutamazon.com/news/company-news/andy-jassy-peter-desantis-amazon-leadership-update,5.6,0,0,0,0,0,0,0,0,0,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon’s S-team: Meet the 27 members who make up our senior leadership team,https://www.aboutamazon.com/news/workplace/amazon-s-team-members,4.9,0,0,0,0,1,1,0,7,0,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
About Amazon Site Map,https://www.aboutamazon.com/site-map,4.6,0,2,1,0,0,0,0,0,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Follow us into the lab where AWS designs custom chips,https://www.aboutamazon.com/news/aws/take-a-look-inside-the-lab-where-aws-makes-custom-chips,4.6,0,1,0,0,2,0,0,4,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Update on our organization,https://www.aboutamazon.com/news/company-news/amazon-layoffs-corporate-jan-2026,4.4,0,0,0,0,0,0,0,0,0,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
CEO Andy Jassy’s 2024 Letter to Shareholders,https://www.aboutamazon.com/news/company-news/amazon-ceo-andy-jassy-2024-letter-to-shareholders,4.4,0,0,0,0,0,0,0,0,0,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
